,Ene/2018,Feb/2018,Mar/2018,Abr/2018,May/2018,Jun/2018,Jul/2018,Ago/2018,Sep/2018,Oct/2018,Nov/2018,Dic/2018,Ene/2019,Feb/2019,Mar/2019,Abr/2019,May/2019,Jun/2019,Jul/2019,Ago/2019,Sep/2019,Oct/2019,Nov/2019,Dic/2019,Ene/2020,Feb/2020,Mar/2020,Abr/2020,May/2020,Jun/2020,Jul/2020,Ago/2020,Sep/2020,Oct/2020,Nov/2020,Dic/2020,Ene/2021,Feb/2021,Mar/2021,Abr/2021,May/2021,Jun/2021,Jul/2021,Ago/2021,Sep/2021,Oct/2021,Nov/2021,Dic/2021,Ene/2022,Feb/2022,Mar/2022,Abr/2022,May/2022,Jun/2022,Jul/2022,Ago/2022,Sep/2022,Oct/2022,Nov/2022,Dic/2022,Ene/2023,Feb/2023,Mar/2023,Abr/2023,May/2023,Jun/2023,Jul/2023,Ago/2023,Sep/2023,Oct/2023,Nov/2023,Dic/2023,Ene/2024,Feb/2024,Mar/2024,Abr/2024,May/2024,Jun/2024,Jul/2024,Ago/2024,Sep/2024,Oct/2024,Nov/2024,Dic/2024,Ene/2025,Feb/2025,Mar/2025,Abr/2025,May/2025,Jun/2025,Jul/2025
Volumen Turbosina,90.3758126684162,83.5847181657427,90.6386711497461,89.7243746574093,82.763308288236,83.3705614429409,89.8896494828654,89.1817676398026,78.753770575445,76.9603898702059,86.9411574522638,85.1907792542344,87.7280112669324,81.2940318878887,86.634970651545,83.5006213039575,81.938809910921,83.166761941281,89.7551138874464,83.8560045872277,72.8936676426958,74.0707854320854,82.0563030418473,92.523247680855,85.9164261595575,84.4234737101868,63.9781412425046,4.90754846569654,5.01582189107532,15.0946920857084,29.4082782222142,27.0262767014639,32.1051350454153,31.250188940341,38.7648144020098,49.3663478090059,47.6232660412919,41.4626943947572,46.4992779355104,54.3340582165888,58.5484768117669,60.5975914759786,69.3922093781908,68.0058501499377,58.1440150576677,68.0213050257035,81.7470217423288,87.8212203731924,84.1971610633066,80.8208687694478,85.5220964378609,92.2997136285042,86.7059629300543,87.8938607781629,88.9033053562282,89.6535024060671,81.1602075903175,83.8689293360318,91.7890365832042,97.8934161862332,94.575699454704,92.1967234342095,94.1892056193956,90.6427379247336,84.8500583982507,87.7272313304416,92.9256096933423,90.5009066497185,81.1896172761722,83.5296458031754,93.4535265138113,100.443653497888,101.5410732416,96.2549643092501,95.1098070244507,93.6811287546661,90.3386634249579,90.7333382408224,92.4069572022585,90.0694976840666,85.3646684687634,84.4235280936087,95.5265526294894,99.2753603733727,99.1625457251676,95.0622615432194,99.7376644819643,100.356774166005,91.9706916913816,89.6830680048244,N/D
Volumen Diesel,325.49229124858,330.192015036367,339.146892609309,334.347377325286,356.01581230534,354.576365122651,333.641702367036,339.154330817362,314.630945549252,320.5895163229,328.033029526236,299.877339250269,290.796400514487,309.007214964648,311.705244741356,308.226937551108,315.611852885509,303.847318451685,297.952606337634,294.709247541875,270.303875267667,275.31042650573,276.626092038861,264.906203774972,258.616110729298,263.653638637158,256.142280614224,198.881608762405,191.697548047193,207.481380978605,208.709412003573,195.172753515505,196.028573823067,216.549364246961,209.312662634042,208.538552144345,177.80474507353,189.960764727509,232.71494232856,218.303229786411,210.153309200075,206.512476359052,196.947238277625,193.484724632235,188.956897627714,203.074440045169,229.582254092848,224.023760825203,193.447756575896,225.854575774292,300.787634699519,322.708794539139,341.641793995051,351.839943268315,340.150211311066,320.956002271295,314.739589234803,319.621938149967,315.562127240531,298.452006327744,274.177206784341,289.088654140792,289.392825872245,267.735297004121,272.036728302215,296.931463922826,295.494180171152,313.035216833769,295.519571520322,290.308789860953,287.740501314191,270.900333241055,248.651897975582,279.004926011089,291.009670333441,317.464803695291,320.800692649474,322.786351885041,314.383157494244,314.357777094754,285.078973909689,276.024375581073,264.42868706329,236.419091011779,228.682466556424,255.374702687803,252.130937793478,303.381581053463,295.79361430581,270.561500450891,N/D
Volumen Combustoleo,76.071599282748,105.581916664464,110.447631650399,93.6788667291824,132.043790851878,117.197950150826,159.132930556242,123.919497381154,133.594234846405,83.2259768000372,68.909321824453,57.5841675141728,50.677198066184,70.1829497126051,88.3818068273825,88.3196882810321,93.9495015533619,99.1820812067406,102.524480838365,95.7651273566824,84.8671035815647,63.3214215289052,41.2312637559661,39.1243127092003,45.6855895104219,41.99737079005,71.6374860437051,63.1549820537479,51.4188322492896,58.9345287033535,46.1252470551838,56.8901573407265,54.1885013110237,63.6664464412833,49.7797140544658,58.3924828179943,76.8940745729793,92.0712127384749,104.613360759343,77.9720345698467,98.4248355721695,94.6865870267377,83.8878898680642,76.1632418204217,68.1748078284698,47.5721810127303,54.8214560445804,63.1902321126242,60.4584970462641,59.3702222231229,58.4522897846234,75.1673642890152,69.798618173537,78.0532810992144,85.2897380587976,61.0675446635892,64.1936813448553,77.3439051759395,63.1823848707611,66.3255837043028,71.9233347965691,70.9497133187218,66.0771134686315,65.7440514713075,86.8842912290044,81.0250466930584,64.4207570271303,89.7812127456028,78.470233050614,82.1272710944416,79.8514097929614,60.7336131507004,35.8303736928891,35.7635002187164,61.7907576151808,35.7127025603282,80.6732008397422,90.9603672702885,112.376335259476,66.8047225919054,60.772715522319,36.7812045354659,55.3395580014091,34.9971896960891,40.2971578303784,48.6075773490303,54.9715539497849,66.1321585618272,70.9393286533304,103.704604798679,N/D
Volumen Otros (4),24.6573094652773,29.617997424613,31.3863123297704,33.8360068168177,25.7448418951918,30.0344838860929,26.1719672023968,32.9575876954688,33.2117893857006,27.1610933124577,31.1694221072786,29.5544181537465,21.6802012323855,30.8319515155374,38.6945682922808,32.3593851574354,27.6863550247243,36.9781456479247,47.6235588750834,50.1242437469955,47.4992737545768,49.7376606335067,39.332882077927,47.4567023362233,49.1527400334735,38.3414817043376,44.7648425171205,35.8234865879455,36.1395811488495,33.3530654052382,35.287169996482,34.0694452591601,36.3154877771092,38.0328394642591,27.0169451149463,25.3093220820467,34.3547172095288,35.2970904846375,32.7182764485868,36.2682509551007,33.9606131329671,30.7300811647329,40.5579903848709,24.9941373678468,27.0505159020945,23.6110674515726,26.0679731983916,41.8006420706608,29.3092601167322,29.4390196085527,41.2308977451817,44.0451901669909,42.4663947956517,38.4424199082653,39.5119478116949,29.2632939211662,24.3280902204303,28.4581828573548,23.7448124400941,29.9484681249315,35.6540906366589,36.2043861892522,39.0718010772473,39.3246223796291,41.7086904291311,42.9645832795273,48.5019077459786,47.2948921259048,43.9503829110781,40.2277319180237,36.7173406414701,40.1129321326221,43.3986271138355,46.0622870133233,39.2246863580411,49.878396618734,52.4767810385768,34.3241916157437,48.3323291186241,47.4267198603741,32.4283227932326,37.3470527880174,37.2550047165413,43.3956979022067,63.5721432678531,41.3092795719515,63.825019034449,60.2830316023213,35.1348420724955,67.6840515002731,0
Volumen Gas natural (MMpcd),2381.98645095114,2328.23535495223,2284.45451395312,2243.11199795397,2195.51515895496,2274.02266795334,2001.27709495893,1909.32419596083,1816.90566896272,1926.84064596048,1776.37466296355,1654.58903296606,1701.32516096509,1694.15250096525,1643.89935596627,1584.53833396749,1686.95644996539,1719.72799996473,1575.98967596767,1609.58806296699,1601.19966496715,1571.93225896775,1510.43333296901,1361.80999897207,1421.64999797083,1396.22241197136,1363.89483897202,1256.25766597422,1194.91870897549,1322.14733397287,1426.24677197074,1457.6054849701,1371.80066497186,1233.87128797469,1187.56233397563,1120.79096597701,1167.03193597606,1106.03964497731,1242.42580497451,1184.4043349757,1161.14580597618,1258.27566397419,1231.06419497474,1178.56419297582,1174.6396669759,1101.91419197739,1080.09433197784,1154.79967897631,1184.6180639757,1042.18928497862,1152.37354797635,1136.36666697669,1196.03903297547,1146.09510897649,1163.06225797614,1148.22354797644,1096.7442359775,1126.71161597688,1101.4109039774,1002.99322597942,1015.57903197916,1015.28000197917,1092.24290297759,1112.60299997717,1164.45290297612,1236.53333397463,1297.55645197339,1313.41741897305,1301.1912019733,1251.46644997433,1243.98399997448,1156.67613097627,1234.65451597467,1270.85379397393,1307.22967897318,1305.72333497321,1343.43193497244,1426.35733297074,1475.66838596972,1454.02806097017,1412.10533097103,1336.81354997257,1340.7773329725,1253.72387297428,1159.34838797621,1238.63690197459,1259.12162797417,1288.29799397357,1305.87310897321,1374.6739999718,N/D
Volumen Complejos Petroquimicos (5),163.923241,144.98824,153.654002,172.098652,167.62045,125.264346,180.36214,142.830112,127.233112,119.475207,145.112799,143.28457,150.855164,156.731287,146.309892,120.716667,116.701736,137.572831,105.05224,112.555739,75.365987,86.476703,102.861148,106.148416,106.026023,104.211662,115.739784,95.8329472,80.5595718,47.826235,53.403852,58.147301,46.8286674,89.754658,112.547818,108.297935,76.28095,89.25887,113.012111,84.314949,70.344699,54.7100608,57.94394,102.7545591,95.7871568,95.3106309,120.5034625,75.608247900015,62.971073199928,84.990910001652,102.325253199936,92.759349600651,60.045695,61.251968600054,101.2931197,104.6380298,95.695846499932,95.717983700576,104.040126000479,57.96506650009,115.441277999846,97.224644,95.349771,71.372877,37.377993,28.976505,59.748743,75.654003,60.686962,97.721238,116.557634,102.523278,110.633971,104.378919,89.555347,63.869828,69.194536,56.306672,44.427559,44.890906,75.696565,58.098548,42.147522,77.450113,84.769033,81.837306,88.197891,80.256974,72.938673,58.780691,N/D
Volumen Sistema Nacional de Refinacion,39.106734,30.845732,36.913911,31.575973,39.327242,35.749235,32.51333,33.060017,32.936996,33.615637,36.960155,28.97697,35.180941,29.571366,23.321106,15.784059,38.399622,28.817686,45.01941,38.313819,31.618492,29.40466,17.868609,29.901972,34.739299,30.903219,29.725348,20.900277,22.304515,29.888486,26.657732,8.934207,18.86825,27.766897,21.792338,29.907354,43.612833,31.395427,28.911046,28.048261,22.546076,19.906397,22.784854,17.149881,16.694619,21.698534,16.107615,20.548654,27.808574,26.784262,24.420356,20.49572,23.916559,24.0244,24.709902,19.787499,13.37693,28.699368,26.466365,22.891966,18.661909,19.395965,24.772364,13.684636,18.474526,12.843976,13.398073,9.304164,9.756495,16.196193,14.425912,10.723693,13.756779,15.122735,19.281402,21.068564,15.467029,13.711904,17.988445,20.854221,20.379785,14.120134,18.724974,24.211329,25.871197,24.799045,27.47371,23.418213,34.023629,31.853402,N/D
Volumen Complejos Procesadores de Gas (6),48.189316,48.459716,58.152127,53.860713,54.655876,50.038347,44.359509,50.134755,48.79313,42.599505,40.363805,41.112459,45.885957,41.21612,44.05302,44.476009,47.38824,43.42415,49.95542,49.619782,43.867435,41.964441,43.866697,50.833966,51.535911,39.629256,43.057413,37.883345,36.856323,34.362358,35.898068,34.547838,35.81326,33.097975,26.46112,27.082202,28.543928,26.18243,28.63708,22.086287,21.341903,26.525342,32.356055,31.307074,34.874346,44.344575,32.32497,31.243063,38.908893,37.598503,39.503076,37.137712,33.087313,29.00025,29.205706,29.972803,28.785804,32.934012,32.978518,32.50318,28.913695,22.739383,27.219717,35.766704,30.88288,25.204069,26.742351,31.384134,28.490317,27.835078,28.281521,29.080153,36.848318,33.684352,31.979521,31.755901,30.36381,23.204245,29.594923,27.542149,23.524086,22.839372,28.610198,23.629529,25.267007,25.488633,28.571884,26.268492,28.607224,34.691261,N/D
Valor Gas licuado (3),5486.60585615,4343.30171632,4482.81130858,3547.69686193,4064.51145907,4445.24232383,4260.11510683,4316.92497665,4508.80479617,4745.09948705,4165.00651272824,3838.7453004946,3700.22071774,3536.88548335,3430.2070084,2796.08614816,2505.63561557,1970.86933955,1997.68671623,2060.32534134,2110.71238697,2487.3451518,2834.45118127,3111.51820277,2722.6828257226,2431.3697806236,2402.8703345766,1669.8216789041,2031.3755364936,2361.0273970672,2569.23986782328,2765.6317085062,2637.17846415273,2980.878691694,2891.6078357194,3630.54697755464,4228.0265455714,3951.1351904975,4411.521512585,3646.00260521,3754.4065071825,4234.5111177275,5015.5672732168,5287.73523526,5686.5644326425,6446.6600844075,6923.5792521575,6522.99497856319,6225.4123075064,6327.6807057133,7067.3220058398,5638.6582981282,5993.2606446962,5348.4211912328,5801.6288371082,5522.8502189744,5270.762935387,4968.93717452,4772.0074550111,4746.30272096,4725.21257998,4211.2031344334,4294.5467484412,3675.9887913554,3270.4869657724,2768.6413137146,2859.9043929804,3200.925512493,3263.8579591614,3676.8477261732,3679.6452354676,4292.89229398,4146.2419113584,4621.2106850058,3871.2141286068,3444.0811352868,3036.7630720984,3287.3158197914,3824.287931717,3949.0801096482,3708.4684209654,4075.1436681042,4711.1623482276,5398.8992513758,4802.6623770886,4296.5494603418,4997.706015412,4232.9854140783,3822.4132912896,3498.143545563,N/D
Valor Pemex Magna,34221.77295917,32083.91043879,36503.67203753,34287.98953104,40921.47230385,39894.57046129,37626.08840463,38190.46135988,35603.31484293,37458.5593327,32021.79779363,30024.41103858,27344.94642381,26609.83605987,31813.33000239,34973.31222405,36199.24901615,31010.191086,34208.65893749,31367.65105999,29982.17171513,30673.68663591,28754.5943953,31082.52624588,28240.81264312,24748.87754434,18680.24012253,10009.6570171,13847.42276183,16281.76704084,18023.2720298,17197.05439664,16338.54419113,16655.1836248,14555.24202296,17678.71404284,16421.36146746,17154.65037953,27066.01526785,24257.52273205,26392.74901737,26834.3696413,28668.13152507,27385.53896433,26508.86656329,31267.75232219,32935.52479743,34346.45778437,31292.87506191,34184.2021204,44627.18080698,44042.86613347,46202.05150387,45577.07374778,46417.04345068,44277.21790385,38995.61023657,42453.54900186,37883.24465852,32732.16014559,35143.25143919,31609.21879846,34447.49993052,31976.32301828,31118.55278286,31185.85208236,32999.4743064,37679.06857502,36139.2230979,32425.04778682,28143.14370857,28389.01759655,27113.1940035,28645.56936462,32299.323317,32074.12849664,32309.9620555,30219.22211207,34208.29412737,33939.19257286,28719.37142693,30269.67512583,29569.89670891,30162.8931995,29629.30823357,27346.16173274,28900.42079425,30045.03473653,29855.93526866,27720.91803172,N/D
